STATUS | wrapper  | 2022/09/15 09:59:08 | --> Wrapper Started as Console
STATUS | wrapper  | 2022/09/15 09:59:09 | Launching a JVM...
INFO   | jvm 1    | 2022/09/15 09:59:09 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2022/09/15 09:59:09 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2022/09/15 09:59:09 | 
INFO   | jvm 1    | 2022/09/15 09:59:09 | Java Runtime: Oracle Corporation 1.8.0_321 C:\Program Files\Java\jdk1.8.0_321\jre
INFO   | jvm 1    | 2022/09/15 09:59:09 |   Heap sizes: current=157184k  free=146533k  max=932352k
INFO   | jvm 1    | 2022/09/15 09:59:09 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=mUxcRsIdas2JA84X -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=11284 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2022/09/15 09:59:09 | Extensions classpath:
INFO   | jvm 1    | 2022/09/15 09:59:09 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2022/09/15 09:59:09 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2022/09/15 09:59:09 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2022/09/15 09:59:09 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2022/09/15 09:59:09 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2022/09/15 09:59:11 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2022/09/15 09:59:11 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3b82ea76: startup date [Thu Sep 15 09:59:11 ICT 2022]; root of context hierarchy
INFO   | jvm 1    | 2022/09/15 09:59:17 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[T:\KTPM\appActive\apache-activemq-5.15.8\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2022/09/15 09:59:17 |  INFO | PListStore:[T:\KTPM\appActive\apache-activemq-5.15.8\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Apache ActiveMQ 5.15.8 (localhost, ID:H51M02-16979-1663210757816-0:1) is starting
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Listening for connections at: tcp://H51M02:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Connector openwire started
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Listening for connections at: amqp://H51M02:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Connector amqp started
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Listening for connections at: stomp://H51M02:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Connector stomp started
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Listening for connections at: mqtt://H51M02:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Starting Jetty server
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Creating Jetty connector
INFO   | jvm 1    | 2022/09/15 09:59:18 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@4d6df1ac{/,null,STARTING} has uncovered http methods for path: /
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Listening for connections at ws://H51M02:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Connector ws started
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | Apache ActiveMQ 5.15.8 (localhost, ID:H51M02-16979-1663210757816-0:1) started
INFO   | jvm 1    | 2022/09/15 09:59:18 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2022/09/15 09:59:18 |  WARN | Store limit is 102400 mb (current store usage is 0 mb). The data directory: T:\KTPM\appActive\apache-activemq-5.15.8\bin\win64\..\..\data\kahadb only has 50656 mb of usable space. - resetting to maximum available disk space: 50656 mb
INFO   | jvm 1    | 2022/09/15 09:59:18 |  WARN | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: T:\KTPM\appActive\apache-activemq-5.15.8\bin\win64\..\..\data only has 50656 mb of usable space. - resetting to maximum available disk space: 50656 mb
INFO   | jvm 1    | 2022/09/15 09:59:19 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2022/09/15 09:59:21 |  INFO | ActiveMQ WebConsole available at http://0.0.0.0:8161/
INFO   | jvm 1    | 2022/09/15 09:59:21 |  INFO | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/
INFO   | jvm 1    | 2022/09/15 09:59:21 |  INFO | Initializing Spring FrameworkServlet 'dispatcher'
INFO   | jvm 1    | 2022/09/15 09:59:21 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2022/09/15 09:59:21 |  INFO | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml
INFO   | jvm 1    | 2022/09/15 10:06:08 |  WARN | Transport Connection to: tcp://0:0:0:0:0:0:0:1:17171 failed: java.net.SocketException: Connection reset
INFO   | jvm 1    | 2022/09/15 10:31:58 |  WARN | Transport Connection to: tcp://0:0:0:0:0:0:0:1:17477 failed: java.net.SocketException: Connection reset
INFO   | jvm 1    | 2022/09/15 10:42:51 |  WARN | Transport Connection to: tcp://127.0.0.1:17302 failed: java.net.SocketException: Connection reset
